face_class,residual_band,outside_skeleton_slot_count,in_k34_signature_ledger,ordered_triad_count,effective_ordered_triad_count,ordered_shell_face_rows,support_count,top_supports,top_signatures,cover_status
k3_k4_skeleton_bridge_face,no_residual_shell,0,False,17952,17952,221,57,"[[14, 21, 29], [14, 18, 26], [14, 26, 26], [14, 17, 27], [14, 27, 29], [8, 14, 18], [8, 14, 26], [8, 17, 21]]","[{'signature': 'C->C->C', 'effective_ordered_triad_count': 1728}, {'signature': 'A->A->A', 'effective_ordered_triad_count': 1440}, {'signature': 'C->C->A', 'effective_ordered_triad_count': 1008}, {'signature': 'C->A->C', 'effective_ordered_triad_count': 1008}, {'signature': 'C->B->A', 'effective_ordered_triad_count': 720}, {'signature': 'C->A->B', 'effective_ordered_triad_count': 720}, {'signature': 'A->C->B', 'effective_ordered_triad_count': 720}, {'signature': 'B->C->A', 'effective_ordered_triad_count': 720}]",open_skeleton_bridge_cover
k3_k4_skeleton_bridge_face,no_residual_shell,0,True,4224,4224,58,30,"[[8, 17, 29], [14, 25, 29], [8, 17, 25], [8, 29, 29], [10, 17, 21], [10, 18, 20], [10, 21, 29], [14, 17, 17]]","[{'signature': 'A->C->C', 'effective_ordered_triad_count': 1008}, {'signature': 'A->B->C', 'effective_ordered_triad_count': 720}, {'signature': 'C->C->D', 'effective_ordered_triad_count': 648}, {'signature': 'C->D->C', 'effective_ordered_triad_count': 648}, {'signature': 'C->C->B', 'effective_ordered_triad_count': 576}, {'signature': 'D->C->A', 'effective_ordered_triad_count': 216}, {'signature': 'A->C->D', 'effective_ordered_triad_count': 216}, {'signature': 'C->B->B', 'effective_ordered_triad_count': 192}]",open_skeleton_bridge_cover
window_residual_face,i3_residual_only,1,False,26856,26856,348,75,"[[9, 26, 29], [11, 26, 29], [11, 14, 21], [11, 18, 29], [9, 14, 17], [9, 14, 29], [9, 17, 26], [9, 18, 27]]","[{'signature': 'C->C->C', 'effective_ordered_triad_count': 1728}, {'signature': 'B->A->C', 'effective_ordered_triad_count': 1656}, {'signature': 'B->C->A', 'effective_ordered_triad_count': 1656}, {'signature': 'C->B->A', 'effective_ordered_triad_count': 1656}, {'signature': 'C->A->B', 'effective_ordered_triad_count': 1656}, {'signature': 'A->C->B', 'effective_ordered_triad_count': 1656}, {'signature': 'B->C->C', 'effective_ordered_triad_count': 1584}, {'signature': 'C->B->C', 'effective_ordered_triad_count': 1584}]",outside_k34_signature_rows_support_level_selector_exclusion_still_required
window_residual_face,i3_residual_only,1,True,5544,5544,90,49,"[[9, 20, 29], [9, 26, 29], [8, 13, 29], [9, 10, 29], [10, 11, 21], [11, 20, 27], [11, 26, 29], [13, 17, 26]]","[{'signature': 'A->B->C', 'effective_ordered_triad_count': 1656}, {'signature': 'C->C->B', 'effective_ordered_triad_count': 1584}, {'signature': 'C->B->B', 'effective_ordered_triad_count': 864}, {'signature': 'A->C->C', 'effective_ordered_triad_count': 720}, {'signature': 'C->D->C', 'effective_ordered_triad_count': 336}, {'signature': 'C->C->D', 'effective_ordered_triad_count': 336}, {'signature': 'A->D->B', 'effective_ordered_triad_count': 48}]",open_single_band_residual_leakage_or_support_certificate
window_residual_face,i3_residual_only,2,False,7272,7272,123,32,"[[9, 11, 14], [9, 11, 26], [9, 9, 18], [8, 9, 13], [9, 9, 26], [9, 13, 18], [11, 13, 18], [9, 13, 14]]","[{'signature': 'B->B->A', 'effective_ordered_triad_count': 672}, {'signature': 'B->A->B', 'effective_ordered_triad_count': 672}, {'signature': 'A->B->B', 'effective_ordered_triad_count': 672}, {'signature': 'B->B->C', 'effective_ordered_triad_count': 624}, {'signature': 'B->C->B', 'effective_ordered_triad_count': 624}, {'signature': 'B->B->B', 'effective_ordered_triad_count': 360}, {'signature': 'B->C->C', 'effective_ordered_triad_count': 360}, {'signature': 'C->B->C', 'effective_ordered_triad_count': 360}]",outside_k34_signature_rows_support_level_selector_exclusion_still_required
window_residual_face,i3_residual_only,2,True,1512,1512,30,20,"[[8, 13, 13], [9, 9, 10], [9, 10, 11], [9, 12, 17], [9, 12, 25], [9, 13, 20], [10, 11, 13], [11, 11, 20]]","[{'signature': 'C->B->B', 'effective_ordered_triad_count': 624}, {'signature': 'C->C->B', 'effective_ordered_triad_count': 360}, {'signature': 'A->B->C', 'effective_ordered_triad_count': 192}, {'signature': 'A->C->C', 'effective_ordered_triad_count': 144}, {'signature': 'C->D->C', 'effective_ordered_triad_count': 96}, {'signature': 'C->C->D', 'effective_ordered_triad_count': 96}]",open_single_band_residual_leakage_or_support_certificate
window_residual_face,i3_residual_only,3,False,288,288,6,2,"[[9, 9, 12], [11, 11, 12]]","[{'signature': 'B->B->B', 'effective_ordered_triad_count': 288}]",outside_k34_signature_rows_support_level_selector_exclusion_still_required
window_residual_face,i4_residual_only,1,False,25128,25128,374,82,"[[14, 24, 26], [19, 21, 26], [17, 29, 30], [10, 14, 24], [14, 14, 30], [14, 19, 21], [14, 26, 30], [26, 26, 30]]","[{'signature': 'C->B->C', 'effective_ordered_triad_count': 1584}, {'signature': 'B->C->C', 'effective_ordered_triad_count': 1584}, {'signature': 'A->A->A', 'effective_ordered_triad_count': 1296}, {'signature': 'B->B->B', 'effective_ordered_triad_count': 1296}, {'signature': 'B->C->B', 'effective_ordered_triad_count': 1152}, {'signature': 'B->B->C', 'effective_ordered_triad_count': 1152}, {'signature': 'C->A->B', 'effective_ordered_triad_count': 1008}, {'signature': 'C->B->A', 'effective_ordered_triad_count': 1008}]",outside_k34_signature_rows_support_level_selector_exclusion_still_required
window_residual_face,i4_residual_only,1,True,4824,4824,70,50,"[[17, 29, 30], [10, 17, 19], [10, 19, 29], [17, 21, 30], [17, 24, 29], [22, 27, 29], [24, 25, 29], [29, 29, 30]]","[{'signature': 'C->C->B', 'effective_ordered_triad_count': 1584}, {'signature': 'C->B->B', 'effective_ordered_triad_count': 1152}, {'signature': 'A->B->C', 'effective_ordered_triad_count': 1008}, {'signature': 'A->C->C', 'effective_ordered_triad_count': 576}, {'signature': 'A->D->B', 'effective_ordered_triad_count': 408}, {'signature': 'D->C->A', 'effective_ordered_triad_count': 48}, {'signature': 'A->C->D', 'effective_ordered_triad_count': 48}]",open_single_band_residual_leakage_or_support_certificate
window_residual_face,i4_residual_only,2,False,7128,7128,113,27,"[[14, 22, 30], [19, 21, 30], [18, 24, 30], [19, 24, 27], [19, 29, 30], [8, 22, 30], [14, 24, 30], [18, 30, 30]]","[{'signature': 'B->C->B', 'effective_ordered_triad_count': 816}, {'signature': 'B->B->C', 'effective_ordered_triad_count': 816}, {'signature': 'B->B->B', 'effective_ordered_triad_count': 792}, {'signature': 'A->B->B', 'effective_ordered_triad_count': 624}, {'signature': 'B->A->B', 'effective_ordered_triad_count': 624}, {'signature': 'B->B->A', 'effective_ordered_triad_count': 624}, {'signature': 'A->A->B', 'effective_ordered_triad_count': 336}, {'signature': 'A->B->A', 'effective_ordered_triad_count': 336}]",outside_k34_signature_rows_support_level_selector_exclusion_still_required
