support,effective_ordered_triad_count,ordered_shell_face_rows,selected_family_effective_triad_count,has_selected_family_signature,all_effective_signatures,selected_family_signatures,cover_status,analytic_endpoint_gap_if_in_strip
11 17 30,576,6,0,False,"['B->C->B:192', 'B->B->C:192', 'C->B->B:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
11 21 30,576,6,0,False,['B->B->B:576'],[],closed_no_selector_support_exclusion,0.009637796977544695
13 19 26,576,6,0,False,"['C->B->A:96', 'C->A->B:96', 'B->C->A:96', 'B->A->C:96', 'A->C->B:96', 'A->B->C:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
9 19 26,576,6,0,False,"['B->B->A:192', 'B->A->B:192', 'A->B->B:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
9 19 30,576,6,0,False,['B->B->B:576'],[],closed_no_selector_support_exclusion,0.009637796977544695
9 21 24,576,6,0,False,"['B->B->A:192', 'B->A->B:192', 'A->B->B:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
9 25 30,576,6,0,False,"['B->C->B:192', 'B->B->C:192', 'C->B->B:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
9 27 30,576,6,0,False,['B->B->B:576'],[],closed_no_selector_support_exclusion,0.009637796977544695
11 19 24,432,6,0,False,"['B->B->A:144', 'B->A->B:144', 'A->B->B:144']",[],closed_no_selector_support_exclusion,0.009637796977544695
9 24 25,432,6,0,False,"['B->A->C:72', 'B->C->A:72', 'A->B->C:72', 'A->C->B:72', 'C->B->A:72', 'C->A->B:72']",[],closed_no_selector_support_exclusion,0.009637796977544695
10 12 30,288,6,0,False,"['C->B->B:96', 'B->C->B:96', 'B->B->C:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
11 11 24,288,3,0,False,"['B->B->A:96', 'B->A->B:96', 'A->B->B:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
11 13 22,288,6,0,False,"['B->C->B:96', 'B->B->C:96', 'C->B->B:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
11 13 30,288,6,0,False,"['B->C->B:96', 'B->B->C:96', 'C->B->B:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
11 16 19,288,6,0,False,['B->B->B:288'],[],closed_no_selector_support_exclusion,0.009637796977544695
11 17 22,288,6,0,False,"['B->C->B:96', 'B->B->C:96', 'C->B->B:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
11 19 20,288,6,0,False,"['B->B->C:96', 'B->C->B:96', 'C->B->B:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
11 21 22,288,6,0,False,['B->B->B:288'],[],closed_no_selector_support_exclusion,0.009637796977544695
11 22 25,288,6,0,False,"['B->B->C:96', 'B->C->B:96', 'C->B->B:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
