support,boundary,R,G4,target_G4,constraint_abs,gap_to_endpoint,interval_endpoint_gap_lower_positive,summary_json
10 13 19,lower,0.00330958253698505,-0.005028017849331445,-0.005028017851282474,1.951029615643307e-12,0.017754814068561726,True,paper3\results\20260612_232651_certify_k34_selector_raw_below_boundaries_k34_selector_raw_below_boundaries_10_13_19_smoke_v2\20260612_232651_raw_below_boundary_summary.json
10 13 19,upper,0.009454944295594292,0.011426599627865141,0.01142659962800208,1.3693907119360915e-13,0.011609452309952483,True,paper3\results\20260612_232651_certify_k34_selector_raw_below_boundaries_k34_selector_raw_below_boundaries_10_13_19_smoke_v2\20260612_232651_raw_below_boundary_summary.json
13 17 24,lower,0.010527427804048198,-0.005028017784626864,-0.005028017851282474,6.66556098510851e-11,0.010536968801498577,True,paper3\results\20260612_233912_certify_k34_selector_raw_below_boundaries_k34_selector_raw_below_boundaries_13_17_24_v2\20260612_233912_raw_below_boundary_summary.json
13 17 24,upper,0.001920908591914422,0.011426595503139942,0.01142659962800208,4.124862137619423e-09,0.019143488013632352,True,paper3\results\20260612_233912_certify_k34_selector_raw_below_boundaries_k34_selector_raw_below_boundaries_13_17_24_v2\20260612_233912_raw_below_boundary_summary.json
13 22 25,lower,0.01201256988181404,-0.005028017850991565,-0.005028017851282474,2.909096574743586e-13,0.009051826723732736,True,paper3\results\20260612_234318_certify_k34_selector_raw_below_boundaries_k34_selector_raw_below_boundaries_13_22_25_v2\20260612_234318_raw_below_boundary_summary.json
13 22 25,upper,0.014534072062107757,0.011426599628087376,0.01142659962800208,8.52963533137796e-14,0.006530324543439018,True,paper3\results\20260612_234318_certify_k34_selector_raw_below_boundaries_k34_selector_raw_below_boundaries_13_22_25_v2\20260612_234318_raw_below_boundary_summary.json
13 22 29,lower,0.016184330898406325,-0.005027932866280695,-0.005028017851282474,8.498500177894774e-08,0.00488006570714045,True,paper3\results\20260612_235429_certify_k34_selector_raw_below_boundaries_k34_selector_raw_below_boundaries_13_22_29_lower_v3\20260612_235429_raw_below_boundary_summary.json
13 22 29,upper,0.01811941220987678,0.011426599627939574,0.01142659962800208,6.250555628639631e-14,0.0029449843956699945,True,paper3\results\20260612_235429_certify_k34_selector_raw_below_boundaries_k34_selector_raw_below_boundaries_13_22_29_upper_v3\20260612_235429_raw_below_boundary_summary.json
13 29 30,lower,0.011159088850607008,-0.005028017847374002,-0.005028017851282474,3.9084725039773005e-12,0.009905307754939767,True,paper3\results\20260612_235429_certify_k34_selector_raw_below_boundaries_k34_selector_raw_below_boundaries_13_29_30_lower_v3\20260612_235429_raw_below_boundary_summary.json
13 29 30,upper,0.014144743723130127,0.011426599591040604,0.01142659962800208,3.696147554688167e-11,0.0069196528824166485,True,paper3\results\20260612_235430_certify_k34_selector_raw_below_boundaries_k34_selector_raw_below_boundaries_13_29_30_upper_v3\20260612_235430_raw_below_boundary_summary.json
