support,residual_shells,mode_count,triad_count,selected_family_signatures,effective_ordered_triad_count,selected_family_effective_triad_count,coarse_cauchy_c1_one_residual_slot,coarse_cauchy_c2_two_residual_slots,coarse_cauchy_c3_three_residual_slots,coarse_cauchy_at_delta_0p01,coarse_cauchy_at_delta_0p05,coarse_cauchy_at_delta_0p10,by_residual_slots
8 26 30,30,66,1584,['A->D->B:96'],576,96,153.908762741836,36.06145976772505,0.0,15.75149087186085,36.218118570749475,52.27637018903884,"[{'residual_slots': 0, 'triad_count': 144, 'coarse_cauchy_coefficient_sum': 20.14485500374335}, {'residual_slots': 1, 'triad_count': 1152, 'coarse_cauchy_coefficient_sum': 153.908762741836}, {'residual_slots': 2, 'triad_count': 288, 'coarse_cauchy_coefficient_sum': 36.06145976772505}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
17 29 30,30,84,1728,['C->C->B:384'],1152,384,150.70207057837885,0.0,0.0,15.070207057837886,33.69800741632262,47.656179113112586,"[{'residual_slots': 0, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 1, 'triad_count': 1728, 'coarse_cauchy_coefficient_sum': 150.70207057837885}, {'residual_slots': 2, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
8 14 30,30,54,1008,['A->D->B:48'],288,48,115.59956913949485,0.0,0.0,11.559956913949485,25.848849476559735,36.55579350149146,"[{'residual_slots': 0, 'triad_count': 144, 'coarse_cauchy_coefficient_sum': 18.472827609304527}, {'residual_slots': 1, 'triad_count': 864, 'coarse_cauchy_coefficient_sum': 115.59956913949485}, {'residual_slots': 2, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
9 20 29,9,63,1296,['C->C->B:288'],864,288,111.12812535477421,17.88432786881011,0.0,11.291655814165523,25.74322064397981,36.930231609460385,"[{'residual_slots': 0, 'triad_count': 288, 'coarse_cauchy_coefficient_sum': 34.33274110396114}, {'residual_slots': 1, 'triad_count': 864, 'coarse_cauchy_coefficient_sum': 111.12812535477421}, {'residual_slots': 2, 'triad_count': 144, 'coarse_cauchy_coefficient_sum': 17.88432786881011}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
14 18 30,30,66,1584,['A->D->B:48'],288,48,85.34272604278489,27.808428752833247,0.0,8.812356891806822,20.473635119322527,29.768582477580203,"[{'residual_slots': 0, 'triad_count': 432, 'coarse_cauchy_coefficient_sum': 41.03529245690362}, {'residual_slots': 1, 'triad_count': 864, 'coarse_cauchy_coefficient_sum': 85.34272604278489}, {'residual_slots': 2, 'triad_count': 288, 'coarse_cauchy_coefficient_sum': 27.808428752833247}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
17 24 29,24,72,864,['A->C->C:192'],576,192,75.2423333611476,0.0,0.0,7.524233336114761,16.824697218122626,23.793714988689903,"[{'residual_slots': 0, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 1, 'triad_count': 864, 'coarse_cauchy_coefficient_sum': 75.2423333611476}, {'residual_slots': 2, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
9 10 29,9,63,1152,['C->C->B:192'],576,192,75.18044894593514,33.97253067098258,0.0,7.857770201303341,18.509485975755467,27.171398485414265,"[{'residual_slots': 0, 'triad_count': 288, 'coarse_cauchy_coefficient_sum': 37.223898213351575}, {'residual_slots': 1, 'triad_count': 576, 'coarse_cauchy_coefficient_sum': 75.18044894593514}, {'residual_slots': 2, 'triad_count': 288, 'coarse_cauchy_coefficient_sum': 33.97253067098258}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
17 22 29,22,72,864,['C->C->B:96'],288,96,74.82410465754526,0.0,0.0,7.482410465754526,16.731178436982983,23.66145946006562,"[{'residual_slots': 0, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 1, 'triad_count': 864, 'coarse_cauchy_coefficient_sum': 74.82410465754526}, {'residual_slots': 2, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
18 26 30,30,78,1872,['A->D->B:48'],288,48,72.50040029608745,48.56570212230158,0.0,7.735697050831761,18.63986745191482,27.783209833188387,"[{'residual_slots': 0, 'triad_count': 432, 'coarse_cauchy_coefficient_sum': 36.40680863391002}, {'residual_slots': 1, 'triad_count': 864, 'coarse_cauchy_coefficient_sum': 72.50040029608745}, {'residual_slots': 2, 'triad_count': 576, 'coarse_cauchy_coefficient_sum': 48.56570212230158}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
10 19 29,19,60,864,['C->C->B:192'],576,192,69.1096205932236,0.0,0.0,6.91096205932236,15.45338095456673,21.854380930466355,"[{'residual_slots': 0, 'triad_count': 288, 'coarse_cauchy_coefficient_sum': 35.313690523339126}, {'residual_slots': 1, 'triad_count': 576, 'coarse_cauchy_coefficient_sum': 69.1096205932236}, {'residual_slots': 2, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
10 17 19,19,48,576,['C->C->B:192'],576,192,66.3068948533484,0.0,0.0,6.63068948533484,14.826672426901796,20.968081230987732,"[{'residual_slots': 0, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 1, 'triad_count': 576, 'coarse_cauchy_coefficient_sum': 66.3068948533484}, {'residual_slots': 2, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
13 17 26,13,72,1296,['A->C->C:192'],576,192,58.219570728932375,14.691390775370506,0.0,5.968870980646942,13.752861315843502,19.879783867606626,"[{'residual_slots': 0, 'triad_count': 576, 'coarse_cauchy_coefficient_sum': 57.334343594418996}, {'residual_slots': 1, 'triad_count': 576, 'coarse_cauchy_coefficient_sum': 58.219570728932375}, {'residual_slots': 2, 'triad_count': 144, 'coarse_cauchy_coefficient_sum': 14.691390775370506}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
13 29 30,13 30,72,1152,['C->C->B:192'],576,192,56.48685663147585,59.68947097251028,0.0,6.245580372872688,15.615318674951993,23.831659579136044,"[{'residual_slots': 0, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 1, 'triad_count': 576, 'coarse_cauchy_coefficient_sum': 56.48685663147585}, {'residual_slots': 2, 'triad_count': 576, 'coarse_cauchy_coefficient_sum': 59.68947097251028}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
9 17 20,9,51,576,['C->C->B:144'],432,144,53.20368603620939,17.88432786881011,0.0,5.49921188230904,12.790922256492559,18.61291556597274,"[{'residual_slots': 0, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 1, 'triad_count': 432, 'coarse_cauchy_coefficient_sum': 53.20368603620939}, {'residual_slots': 2, 'triad_count': 144, 'coarse_cauchy_coefficient_sum': 17.88432786881011}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
10 20 22,22,36,576,['C->C->B:96'],288,96,50.65215009050084,0.0,0.0,5.0652150090500845,11.3261650808882,16.017616267068657,"[{'residual_slots': 0, 'triad_count': 144, 'coarse_cauchy_coefficient_sum': 16.75076272260565}, {'residual_slots': 1, 'triad_count': 432, 'coarse_cauchy_coefficient_sum': 50.65215009050084}, {'residual_slots': 2, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
17 22 25,22,51,576,['C->C->B:96'],288,96,49.767429435370126,0.0,0.0,4.976742943537013,11.128335528291158,15.737843030747717,"[{'residual_slots': 0, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 1, 'triad_count': 576, 'coarse_cauchy_coefficient_sum': 49.767429435370126}, {'residual_slots': 2, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
12 17 25,12,43,432,['C->C->B:48'],144,48,44.888187614179586,0.0,0.0,4.488818761417959,10.037303889206965,14.194891289776704,"[{'residual_slots': 0, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 1, 'triad_count': 432, 'coarse_cauchy_coefficient_sum': 44.888187614179586}, {'residual_slots': 2, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
13 25 26,13,63,864,['A->C->C:144'],432,144,43.98186032366904,14.691390775370506,0.0,4.5450999401206085,10.569212484831013,15.377424512955512,"[{'residual_slots': 0, 'triad_count': 288, 'coarse_cauchy_coefficient_sum': 28.244343717402124}, {'residual_slots': 1, 'triad_count': 432, 'coarse_cauchy_coefficient_sum': 43.98186032366904}, {'residual_slots': 2, 'triad_count': 144, 'coarse_cauchy_coefficient_sum': 14.691390775370506}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
24 25 29,24,63,576,['A->C->C:192'],576,192,41.67235324588461,0.0,0.0,4.167235324588461,9.3182214640182,13.177955171610614,"[{'residual_slots': 0, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 1, 'triad_count': 576, 'coarse_cauchy_coefficient_sum': 41.67235324588461}, {'residual_slots': 2, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
14 18 22,22,54,864,['A->D->B:48'],288,48,41.21590168519515,0.0,0.0,4.121590168519515,9.216155792204448,13.033612514278888,"[{'residual_slots': 0, 'triad_count': 432, 'coarse_cauchy_coefficient_sum': 41.03529245690362}, {'residual_slots': 1, 'triad_count': 432, 'coarse_cauchy_coefficient_sum': 41.21590168519515}, {'residual_slots': 2, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
8 22 26,22,54,720,['A->D->B:48'],288,48,39.75475045384474,36.08376988820409,0.0,4.3363127442665155,10.693620938743951,16.179932913396605,"[{'residual_slots': 0, 'triad_count': 144, 'coarse_cauchy_coefficient_sum': 20.14485500374335}, {'residual_slots': 1, 'triad_count': 288, 'coarse_cauchy_coefficient_sum': 39.75475045384474}, {'residual_slots': 2, 'triad_count': 288, 'coarse_cauchy_coefficient_sum': 36.08376988820409}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
8 16 24,24,21,648,['A->D->B:24'],144,24,39.272295078463415,38.10385517446684,0.0,4.3082680595910094,10.686744901510805,16.22937565646323,"[{'residual_slots': 0, 'triad_count': 72, 'coarse_cauchy_coefficient_sum': 9.363961030678922}, {'residual_slots': 1, 'triad_count': 288, 'coarse_cauchy_coefficient_sum': 39.272295078463415}, {'residual_slots': 2, 'triad_count': 288, 'coarse_cauchy_coefficient_sum': 38.10385517446684}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
29 29 30,30,60,576,['C->C->B:192'],576,192,37.8198746498422,0.0,0.0,3.78198746498422,8.456781061756821,11.959694471556439,"[{'residual_slots': 0, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 1, 'triad_count': 576, 'coarse_cauchy_coefficient_sum': 37.8198746498422}, {'residual_slots': 2, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
18 22 26,22,66,1152,['A->D->B:48'],288,48,36.24413121818545,24.055846592136106,0.0,3.8649715877399062,9.3072264485353,13.866985305561531,"[{'residual_slots': 0, 'triad_count': 432, 'coarse_cauchy_coefficient_sum': 36.40680863391002}, {'residual_slots': 1, 'triad_count': 432, 'coarse_cauchy_coefficient_sum': 36.24413121818545}, {'residual_slots': 2, 'triad_count': 288, 'coarse_cauchy_coefficient_sum': 24.055846592136106}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
10 11 29,11,60,576,['C->C->B:96'],288,96,35.05439228005999,0.0,0.0,3.5054392280059994,7.838400404815799,11.085172159801262,"[{'residual_slots': 0, 'triad_count': 288, 'coarse_cauchy_coefficient_sum': 35.313690523339126}, {'residual_slots': 1, 'triad_count': 288, 'coarse_cauchy_coefficient_sum': 35.05439228005999}, {'residual_slots': 2, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
9 10 17,9,51,576,['C->C->B:96'],288,96,34.93422437808691,33.97253067098258,0.0,3.8331477445185174,9.510156578612394,14.444424799711642,"[{'residual_slots': 0, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 1, 'triad_count': 288, 'coarse_cauchy_coefficient_sum': 34.93422437808691}, {'residual_slots': 2, 'triad_count': 288, 'coarse_cauchy_coefficient_sum': 33.97253067098258}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
10 13 27,13,40,288,['C->C->B:96'],288,96,34.367598041989005,0.0,0.0,3.4367598041989007,7.684828544527608,10.867988752182837,"[{'residual_slots': 0, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 1, 'triad_count': 288, 'coarse_cauchy_coefficient_sum': 34.367598041989005}, {'residual_slots': 2, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}, {'residual_slots': 3, 'triad_count': 0, 'coarse_cauchy_coefficient_sum': 0.0}]"
