support,effective_ordered_triad_count,ordered_shell_face_rows,selected_family_effective_triad_count,has_selected_family_signature,residual_bands,all_effective_signatures,selected_family_signatures,cover_status,analytic_endpoint_gap_if_in_strip
9 26 29,1296,6,0,False,['i3_residual_only:1296'],"['B->A->C:216', 'B->C->A:216', 'A->B->C:216', 'A->C->B:216', 'C->B->A:216', 'C->A->B:216']",[],closed_no_selector_support_exclusion,0.009637796977544695
11 26 29,1152,6,0,False,['i3_residual_only:1152'],"['B->A->C:192', 'B->C->A:192', 'A->B->C:192', 'A->C->B:192', 'C->B->A:192', 'C->A->B:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
11 14 21,864,6,0,False,['i3_residual_only:864'],"['B->A->B:288', 'B->B->A:288', 'A->B->B:288']",[],closed_no_selector_support_exclusion,0.009637796977544695
11 14 29,864,6,0,False,['i3_residual_only:864'],"['B->A->C:144', 'B->C->A:144', 'A->B->C:144', 'A->C->B:144', 'C->B->A:144', 'C->A->B:144']",[],closed_no_selector_support_exclusion,0.009637796977544695
11 18 29,864,6,0,False,['i3_residual_only:864'],"['B->D->C:144', 'B->C->D:144', 'D->B->C:144', 'D->C->B:144', 'C->B->D:144', 'C->D->B:144']",[],closed_no_selector_support_exclusion,0.009637796977544695
14 24 26,864,6,0,False,['i4_residual_only:864'],['A->A->A:864'],[],closed_no_selector_support_exclusion,0.009637796977544695
19 21 26,864,6,0,False,['i4_residual_only:864'],"['B->B->A:288', 'B->A->B:288', 'A->B->B:288']",[],closed_no_selector_support_exclusion,0.009637796977544695
9 11 14,864,6,0,False,['i3_residual_only:864'],"['B->B->A:288', 'B->A->B:288', 'A->B->B:288']",[],closed_no_selector_support_exclusion,0.009637796977544695
9 11 26,864,6,0,False,['i3_residual_only:864'],"['B->B->A:288', 'B->A->B:288', 'A->B->B:288']",[],closed_no_selector_support_exclusion,0.009637796977544695
9 14 17,864,6,0,False,['i3_residual_only:864'],"['B->A->C:144', 'B->C->A:144', 'A->B->C:144', 'A->C->B:144', 'C->B->A:144', 'C->A->B:144']",[],closed_no_selector_support_exclusion,0.009637796977544695
9 14 29,864,6,0,False,['i3_residual_only:864'],"['B->A->C:144', 'B->C->A:144', 'A->B->C:144', 'A->C->B:144', 'C->B->A:144', 'C->A->B:144']",[],closed_no_selector_support_exclusion,0.009637796977544695
9 17 26,864,6,0,False,['i3_residual_only:864'],"['B->C->A:144', 'B->A->C:144', 'C->B->A:144', 'C->A->B:144', 'A->B->C:144', 'A->C->B:144']",[],closed_no_selector_support_exclusion,0.009637796977544695
11 17 18,720,6,0,False,['i3_residual_only:720'],"['B->C->D:120', 'B->D->C:120', 'C->B->D:120', 'C->D->B:120', 'D->B->C:120', 'D->C->B:120']",[],closed_no_selector_support_exclusion,0.009637796977544695
9 18 27,720,6,0,False,['i3_residual_only:720'],"['B->D->B:240', 'B->B->D:240', 'D->B->B:240']",[],closed_no_selector_support_exclusion,0.009637796977544695
10 11 21,576,6,0,False,['i3_residual_only:576'],"['C->B->B:192', 'B->C->B:192', 'B->B->C:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
10 14 24,576,6,0,False,['i4_residual_only:576'],"['C->A->A:192', 'A->C->A:192', 'A->A->C:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
11 14 17,576,6,0,False,['i3_residual_only:576'],"['B->A->C:96', 'B->C->A:96', 'A->B->C:96', 'A->C->B:96', 'C->B->A:96', 'C->A->B:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
11 17 26,576,6,0,False,['i3_residual_only:576'],"['B->C->A:96', 'B->A->C:96', 'C->B->A:96', 'C->A->B:96', 'A->B->C:96', 'A->C->B:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
11 17 30,576,6,0,False,['mixed_i3_i4_residual:576'],"['B->C->B:192', 'B->B->C:192', 'C->B->B:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
11 20 27,576,6,0,False,['i3_residual_only:576'],"['B->C->B:192', 'B->B->C:192', 'C->B->B:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
11 21 26,576,6,0,False,['i3_residual_only:576'],"['B->B->A:192', 'B->A->B:192', 'A->B->B:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
11 21 30,576,6,0,False,['mixed_i3_i4_residual:576'],['B->B->B:576'],[],closed_no_selector_support_exclusion,0.009637796977544695
11 25 26,576,6,0,False,['i3_residual_only:576'],"['B->C->A:96', 'B->A->C:96', 'C->B->A:96', 'C->A->B:96', 'A->B->C:96', 'A->C->B:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
12 14 26,576,6,0,False,['i3_residual_only:576'],"['B->A->A:192', 'A->B->A:192', 'A->A->B:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
13 14 27,576,6,0,False,['i3_residual_only:576'],"['C->A->B:96', 'C->B->A:96', 'A->C->B:96', 'A->B->C:96', 'B->C->A:96', 'B->A->C:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
13 18 21,576,6,0,False,['i3_residual_only:576'],"['C->D->B:96', 'C->B->D:96', 'D->C->B:96', 'D->B->C:96', 'B->C->D:96', 'B->D->C:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
13 19 26,576,6,0,False,['mixed_i3_i4_residual:576'],"['C->B->A:96', 'C->A->B:96', 'B->C->A:96', 'B->A->C:96', 'A->C->B:96', 'A->B->C:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
14 14 30,576,3,0,False,['i4_residual_only:576'],"['A->A->B:192', 'A->B->A:192', 'B->A->A:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
14 19 21,576,6,0,False,['i4_residual_only:576'],"['A->B->B:192', 'B->A->B:192', 'B->B->A:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
14 19 25,576,6,0,False,['i4_residual_only:576'],"['A->B->C:96', 'A->C->B:96', 'B->A->C:96', 'B->C->A:96', 'C->A->B:96', 'C->B->A:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
14 20 30,576,6,0,False,['i4_residual_only:576'],"['A->C->B:96', 'A->B->C:96', 'C->A->B:96', 'C->B->A:96', 'B->A->C:96', 'B->C->A:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
14 22 30,576,6,0,False,['i4_residual_only:576'],"['A->B->B:192', 'B->A->B:192', 'B->B->A:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
14 26 30,576,6,0,False,['i4_residual_only:576'],"['A->A->B:192', 'A->B->A:192', 'B->A->A:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
17 21 24,576,6,0,False,['i4_residual_only:576'],"['C->B->A:96', 'C->A->B:96', 'B->C->A:96', 'B->A->C:96', 'A->C->B:96', 'A->B->C:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
17 21 30,576,6,0,False,['i4_residual_only:576'],"['C->B->B:192', 'B->C->B:192', 'B->B->C:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
19 21 30,576,6,0,False,['i4_residual_only:576'],['B->B->B:576'],[],closed_no_selector_support_exclusion,0.009637796977544695
19 26 29,576,6,0,False,['i4_residual_only:576'],"['B->A->C:96', 'B->C->A:96', 'A->B->C:96', 'A->C->B:96', 'C->B->A:96', 'C->A->B:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
19 29 30,576,6,0,False,['i4_residual_only:576'],"['B->C->B:192', 'B->B->C:192', 'C->B->B:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
21 24 29,576,6,0,False,['i4_residual_only:576'],"['B->A->C:96', 'B->C->A:96', 'A->B->C:96', 'A->C->B:96', 'C->B->A:96', 'C->A->B:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
22 27 29,576,6,0,False,['i4_residual_only:576'],"['B->B->C:192', 'B->C->B:192', 'C->B->B:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
26 26 30,576,3,0,False,['i4_residual_only:576'],"['A->A->B:192', 'A->B->A:192', 'B->A->A:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
9 14 21,576,6,0,False,['i3_residual_only:576'],"['B->A->B:192', 'B->B->A:192', 'A->B->B:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
9 14 25,576,6,0,False,['i3_residual_only:576'],"['B->A->C:96', 'B->C->A:96', 'A->B->C:96', 'A->C->B:96', 'C->B->A:96', 'C->A->B:96']",[],closed_no_selector_support_exclusion,0.009637796977544695
9 18 21,576,6,0,False,['i3_residual_only:576'],"['B->D->B:192', 'B->B->D:192', 'D->B->B:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
9 19 26,576,6,0,False,['mixed_i3_i4_residual:576'],"['B->B->A:192', 'B->A->B:192', 'A->B->B:192']",[],closed_no_selector_support_exclusion,0.009637796977544695
9 19 30,576,6,0,False,['mixed_i3_i4_residual:576'],['B->B->B:576'],[],closed_no_selector_support_exclusion,0.009637796977544695
