shell_support,face_class,effective_ordered_triad_count,has_k6_source,has_k7_core,has_k6_source_only,has_k7_core_only,has_overlap,proof_role,k6_source_only_count,k7_core_only_count,overlap_count,outside_transfer_family_count,top_signatures
64 64 128,k6k7_bridge_face,72,False,False,False,False,False,bridge_remainder_no_transfer_family,0,0,0,72,B->B->D:24;B->D->B:24;D->B->B:24
64 65 65,k6_endpoint_face,72,True,True,True,False,True,endpoint_chart,24,0,48,0,B->C->C:24;C->B->C:24;C->C->B:24
64 65 97,k6_endpoint_face,288,True,True,True,False,True,endpoint_chart,96,0,192,0,B->C->C:96;C->B->C:96;C->C->B:96
64 65 113,k6_endpoint_face,144,True,True,True,False,True,endpoint_chart,48,0,96,0,B->C->C:48;C->B->C:48;C->C->B:48
64 65 129,k6k7_bridge_face,576,True,True,True,False,True,bridge_k6_source_side_only,384,0,192,0,B->C->B:192;B->B->C:192;C->B->B:192
64 65 145,k6k7_bridge_face,144,True,True,True,False,True,bridge_k6_source_side_only,48,0,96,0,B->C->C:48;C->B->C:48;C->C->B:48
64 65 161,k6k7_bridge_face,288,True,True,True,False,True,bridge_k6_source_side_only,192,0,96,0,B->C->B:96;B->B->C:96;C->B->B:96
64 65 193,k6k7_bridge_face,144,True,True,True,False,True,bridge_k6_source_side_only,48,0,96,0,B->C->C:48;C->B->C:48;C->C->B:48
64 65 209,k6k7_bridge_face,288,True,True,True,False,True,bridge_k6_source_side_only,192,0,96,0,B->C->B:96;B->B->C:96;C->B->B:96
64 65 225,k6k7_bridge_face,288,True,True,True,False,True,bridge_k6_source_side_only,96,0,192,0,B->C->C:96;C->B->C:96;C->C->B:96
64 65 241,k6k7_bridge_face,144,True,True,True,False,True,bridge_k6_source_side_only,48,0,96,0,B->C->C:48;C->B->C:48;C->C->B:48
64 66 66,k6_endpoint_face,216,True,True,False,False,True,endpoint_chart,0,0,216,0,B->B->B:216
64 66 114,k6_endpoint_face,576,True,True,False,False,True,endpoint_chart,0,0,192,384,B->B->A:192;B->A->B:192;A->B->B:192
64 66 146,k6k7_bridge_face,576,True,True,False,False,True,bridge_overlap_family_only,0,0,192,384,B->B->A:192;B->A->B:192;A->B->B:192
64 66 194,k6k7_bridge_face,432,True,True,False,False,True,bridge_overlap_family_only,0,0,144,288,B->B->A:144;B->A->B:144;A->B->B:144
64 66 210,k6k7_bridge_face,288,True,True,False,False,True,bridge_overlap_family_only,0,0,288,0,B->B->B:288
64 66 242,k6k7_bridge_face,288,False,False,False,False,False,bridge_remainder_no_transfer_family,0,0,0,288,B->B->D:96;B->D->B:96;D->B->B:96
64 67 83,k6_endpoint_face,288,True,True,False,False,True,endpoint_chart,0,0,288,0,B->B->B:288
64 67 179,k6k7_bridge_face,288,True,True,False,False,True,bridge_overlap_family_only,0,0,288,0,B->B->B:288
64 67 243,k6k7_bridge_face,144,True,True,False,False,True,bridge_overlap_family_only,0,0,144,0,B->B->B:144
64 68 68,k6_endpoint_face,144,True,True,True,False,True,endpoint_chart,48,0,96,0,B->C->C:48;C->B->C:48;C->C->B:48
64 68 100,k6_endpoint_face,144,True,True,True,False,True,endpoint_chart,48,0,96,0,B->C->C:48;C->B->C:48;C->C->B:48
64 68 132,k6k7_bridge_face,288,True,True,True,False,True,bridge_k6_source_side_only,192,0,96,0,B->C->B:96;B->B->C:96;C->B->B:96
64 68 164,k6k7_bridge_face,144,True,True,True,False,True,bridge_k6_source_side_only,48,0,96,0,B->C->C:48;C->B->C:48;C->C->B:48
64 68 196,k6k7_bridge_face,288,True,True,True,False,True,bridge_k6_source_side_only,192,0,96,0,B->C->B:96;B->B->C:96;C->B->B:96
64 68 228,k6k7_bridge_face,144,True,True,True,False,True,bridge_k6_source_side_only,96,0,48,0,B->C->B:48;B->B->C:48;C->B->B:48
64 69 69,k6_endpoint_face,144,True,True,False,False,True,endpoint_chart,0,0,144,0,B->B->B:144
64 69 101,k6_endpoint_face,576,True,True,True,False,True,endpoint_chart,384,0,192,0,B->B->C:192;B->C->B:192;C->B->B:192
64 69 117,k6_endpoint_face,288,True,True,True,False,True,endpoint_chart,192,0,96,0,B->B->C:96;B->C->B:96;C->B->B:96
64 69 149,k6k7_bridge_face,288,True,True,True,False,True,bridge_k6_source_side_only,192,0,96,0,B->B->C:96;B->C->B:96;C->B->B:96
64 69 165,k6k7_bridge_face,576,True,True,False,False,True,bridge_overlap_family_only,0,0,576,0,B->B->B:576
64 69 197,k6k7_bridge_face,288,True,True,True,False,True,bridge_k6_source_side_only,192,0,96,0,B->B->C:96;B->C->B:96;C->B->B:96
64 69 245,k6k7_bridge_face,288,True,True,True,False,True,bridge_k6_source_side_only,192,0,96,0,B->B->C:96;B->C->B:96;C->B->B:96
64 70 86,k6_endpoint_face,288,True,True,False,False,True,endpoint_chart,0,0,96,192,B->B->A:96;B->A->B:96;A->B->B:96
64 70 182,k6k7_bridge_face,288,True,True,False,False,True,bridge_overlap_family_only,0,0,96,192,B->B->A:96;B->A->B:96;A->B->B:96
64 70 214,k6k7_bridge_face,288,True,True,False,False,True,bridge_overlap_family_only,0,0,288,0,B->B->B:288
64 70 230,k6k7_bridge_face,288,True,True,False,False,True,bridge_overlap_family_only,0,0,288,0,B->B->B:288
64 72 104,k6_endpoint_face,288,False,False,False,False,False,endpoint_chart,0,0,0,288,B->D->A:48;B->A->D:48;D->B->A:48;D->A->B:48;A->B->D:48;A->D->B:48
64 72 136,k6k7_bridge_face,144,False,False,False,False,False,bridge_remainder_no_transfer_family,0,0,0,144,B->D->C:24;B->C->D:24;D->B->C:24;D->C->B:24;C->B->D:24;C->D->B:24
64 72 168,k6k7_bridge_face,288,False,False,False,False,False,bridge_remainder_no_transfer_family,0,0,0,288,B->D->A:48;B->A->D:48;D->B->A:48;D->A->B:48;A->B->D:48;A->D->B:48
64 72 232,k6k7_bridge_face,144,False,False,False,False,False,bridge_remainder_no_transfer_family,0,0,0,144,B->D->C:24;B->C->D:24;D->B->C:24;D->C->B:24;C->B->D:24;C->D->B:24
64 73 89,k6_endpoint_face,144,True,True,True,False,True,endpoint_chart,48,0,96,0,B->C->C:48;C->B->C:48;C->C->B:48
64 73 121,k6_endpoint_face,144,True,True,True,False,True,endpoint_chart,96,0,48,0,B->C->B:48;B->B->C:48;C->B->B:48
64 73 137,k6k7_bridge_face,288,True,True,True,False,True,bridge_k6_source_side_only,96,0,192,0,B->C->C:96;C->B->C:96;C->C->B:96
64 73 153,k6k7_bridge_face,144,True,True,True,False,True,bridge_k6_source_side_only,48,0,96,0,B->C->C:48;C->B->C:48;C->C->B:48
64 73 185,k6k7_bridge_face,144,True,True,True,False,True,bridge_k6_source_side_only,48,0,96,0,B->C->C:48;C->B->C:48;C->C->B:48
64 73 233,k6k7_bridge_face,288,True,True,True,False,True,bridge_k6_source_side_only,96,0,192,0,B->C->C:96;C->B->C:96;C->C->B:96
64 74 74,k6_endpoint_face,144,False,False,False,False,False,endpoint_chart,0,0,0,144,B->A->A:48;A->B->A:48;A->A->B:48
64 74 90,k6_endpoint_face,576,False,True,False,True,False,endpoint_chart,0,192,0,384,B->A->C:96;B->C->A:96;A->B->C:96;A->C->B:96;C->B->A:96;C->A->B:96
64 74 122,k6_endpoint_face,288,False,False,False,False,False,endpoint_chart,0,0,0,288,B->A->A:96;A->B->A:96;A->A->B:96
64 74 138,k6k7_bridge_face,288,True,True,False,False,True,bridge_overlap_family_only,0,0,96,192,B->A->B:96;B->B->A:96;A->B->B:96
64 74 154,k6k7_bridge_face,288,True,True,False,False,True,bridge_overlap_family_only,0,0,96,192,B->A->B:96;B->B->A:96;A->B->B:96
64 74 186,k6k7_bridge_face,576,False,False,False,False,False,bridge_remainder_no_transfer_family,0,0,0,576,B->A->A:192;A->B->A:192;A->A->B:192
64 74 202,k6k7_bridge_face,288,False,True,False,True,False,bridge_k7_core_side_only,0,96,0,192,B->A->C:48;B->C->A:48;A->B->C:48;A->C->B:48;C->B->A:48;C->A->B:48
64 74 218,k6k7_bridge_face,144,False,False,False,False,False,bridge_remainder_no_transfer_family,0,0,0,144,B->A->A:48;A->B->A:48;A->A->B:48
64 74 250,k6k7_bridge_face,432,False,True,False,True,False,bridge_k7_core_side_only,0,144,0,288,B->A->C:72;B->C->A:72;A->B->C:72;A->C->B:72;C->B->A:72;C->A->B:72
64 75 123,k6_endpoint_face,288,True,True,False,False,True,endpoint_chart,0,0,288,0,B->B->B:288
64 75 155,k6k7_bridge_face,288,True,True,False,False,True,bridge_overlap_family_only,0,0,288,0,B->B->B:288
64 75 219,k6k7_bridge_face,432,True,True,False,False,True,bridge_overlap_family_only,0,0,432,0,B->B->B:432
64 75 251,k6k7_bridge_face,288,True,True,False,False,True,bridge_overlap_family_only,0,0,288,0,B->B->B:288
64 76 108,k6_endpoint_face,144,True,True,False,False,True,endpoint_chart,0,0,144,0,B->B->B:144
64 76 172,k6k7_bridge_face,144,True,True,False,False,True,bridge_overlap_family_only,0,0,144,0,B->B->B:144
64 76 236,k6k7_bridge_face,288,True,True,False,False,True,bridge_overlap_family_only,0,0,288,0,B->B->B:288
64 77 77,k6_endpoint_face,144,True,True,False,False,True,endpoint_chart,0,0,144,0,B->B->B:144
