replacement_type,shared_shells,pair_count
B->A,69 173,630
B->A,69 197,594
B->A,110 250,572
B->A,117 189,560
B->A,65 129,551
B->A,65 209,551
B->A,101 189,546
B->A,101 141,540
B->A,77 181,540
B->A,81 145,532
B->A,77 241,528
B->A,121 185,520
B->A,113 129,513
B->A,81 241,510
B->A,101 237,494
B->A,69 221,494
B->A,113 161,486
B->A,105 185,483
B->A,89 129,480
B->A,94 170,480
B->A,69 149,475
B->A,89 201,475
B->A,125 237,468
B->A,89 161,462
B->A,65 201,460
B->A,90 230,460
B->A,89 217,456
B->A,89 249,450
B->A,121 153,442
B->A,101 129,440
B->A,101 201,440
B->A,90 166,440
B->A,110 170,437
B->A,110 226,437
B->A,106 230,432
B->A,89 237,432
B->A,77 149,425
B->A,97 209,425
B->A,105 149,420
B->A,66 170,420
B->A,69 233,420
B->A,125 189,418
B->A,89 165,418
B->A,77 245,416
B->A,89 209,414
B->A,97 161,408
B->A,101 161,400
B->A,113 209,400
B->A,69 153,400
B->A,101 209,399
B->A,101 249,399
B->A,125 217,399
B->A,90 154,399
B->A,77 145,396
C->A,77 241,396
B->A,77 229,391
B->A,65 161,384
B->A,82 230,384
B->A,113 189,380
B->A,125 129,380
B->A,69 185,380
B->A,81 153,380
B->A,90 174,380
B->A,101 217,378
B->A,109 209,378
B->A,117 161,378
B->A,117 209,378
B->A,65 237,378
B->A,81 185,378
B->A,90 246,378
B->A,121 173,374
C->A,101 129,374
C->A,117 129,374
B->A,105 153,368
B->A,125 165,368
B->A,65 189,361
B->A,89 189,361
B->A,85 209,360
C->A,117 201,360
B->A,81 181,357
C->A,117 209,357
B->A,101 165,345
B->A,125 161,342
C->A,69 149,342
B->A,118 170,340
C->A,66 170,340
C->A,69 153,340
C->A,69 233,340
C->A,89 129,340
B->A,121 137,336
B->A,69 245,336
B->A,73 189,336
C->A,101 217,336
C->A,89 161,336
B->A,117 141,330
B->A,65 217,330
B->A,73 209,330
C->A,69 197,330
B->A,105 221,324
