shared_distinct_shell_count,distinct_union_shell_count,union_shells,type_multiset_pair,pair_count
1,4,100 106 122 174,B B C|A B C,2
1,4,100 106 134 174,B B C|A B C,2
1,4,100 106 150 174,B B C|A B C,2
1,4,100 106 158 174,B B C|A B C,2
1,4,100 106 174 182,B B C|A B C,2
1,4,100 106 174 186,B B C|A B C,2
1,4,100 106 174 234,B B C|A B C,2
1,4,100 106 174 254,B B C|A B C,2
1,4,100 114 198 230,B B C|A B C,2
1,4,100 116 122 138,B B C|A B C,2
1,4,100 116 122 210,B B C|A B C,2
1,4,100 116 134 174,B B C|A B C,2
1,4,100 116 138 186,B B C|A B C,2
1,4,100 116 138 194,B B C|A B C,2
1,4,100 116 138 218,B B C|A B C,2
1,4,100 116 150 174,B B C|A B C,2
1,4,100 116 150 198,B B C|A B C,2
1,4,100 116 158 174,B B C|A B C,2
1,4,100 116 174 182,B B C|A B C,2
1,4,100 116 174 254,B B C|A B C,2
1,4,100 116 194 210,B B C|A B C,2
1,4,100 116 198 206,B B C|A B C,2
1,4,100 116 198 222,B B C|A B C,2
1,4,100 116 210 218,B B C|A B C,2
1,4,100 122 138 142,B B C|A B C,2
1,4,100 122 138 174,B B C|A B C,2
1,4,100 122 138 210,B B C|A B C,2
1,4,100 122 142 174,B B C|A B C,2
1,4,100 122 142 210,B B C|A B C,2
1,4,100 122 174 210,B B C|A B C,2
1,4,100 134 174 210,B B C|A B C,2
1,4,100 134 174 230,B B C|A B C,2
1,4,100 134 174 246,B B C|A B C,2
1,4,100 134 210 230,B B C|A B C,2
1,4,100 134 210 246,B B C|A B C,2
1,4,100 134 230 246,B B C|A B C,2
1,4,100 138 142 158,B B C|A B C,2
1,4,100 138 142 206,B B C|A B C,2
1,4,100 138 142 234,B B C|A B C,2
1,4,100 138 142 254,B B C|A B C,2
1,4,100 138 158 174,B B C|A B C,2
1,4,100 138 158 198,B B C|A B C,2
1,4,100 138 174 186,B B C|A B C,2
1,4,100 138 174 222,B B C|A B C,2
1,4,100 138 174 234,B B C|A B C,2
1,4,100 138 174 254,B B C|A B C,2
1,4,100 138 186 210,B B C|A B C,2
1,4,100 138 194 198,B B C|A B C,2
1,4,100 138 194 210,B B C|A B C,2
1,4,100 138 194 230,B B C|A B C,2
1,4,100 138 194 246,B B C|A B C,2
1,4,100 138 198 206,B B C|A B C,2
1,4,100 138 198 222,B B C|A B C,2
1,4,100 138 206 230,B B C|A B C,2
1,4,100 138 206 246,B B C|A B C,2
1,4,100 138 210 218,B B C|A B C,2
1,4,100 138 210 234,B B C|A B C,2
1,4,100 138 222 230,B B C|A B C,2
1,4,100 138 222 246,B B C|A B C,2
1,4,100 138 230 254,B B C|A B C,2
1,4,100 142 158 174,B B C|A B C,2
1,4,100 142 158 198,B B C|A B C,2
1,4,100 142 174 234,B B C|A B C,2
1,4,100 142 174 254,B B C|A B C,2
1,4,100 142 198 206,B B C|A B C,2
1,4,100 142 206 230,B B C|A B C,2
1,4,100 142 206 246,B B C|A B C,2
1,4,100 142 210 234,B B C|A B C,2
1,4,100 142 230 254,B B C|A B C,2
1,4,100 146 198 246,B B C|A B C,2
1,4,100 150 174 198,B B C|A B C,2
1,4,100 150 174 210,B B C|A B C,2
1,4,100 150 174 230,B B C|A B C,2
1,4,100 150 198 210,B B C|A B C,2
1,4,100 150 198 230,B B C|A B C,2
1,4,100 150 210 230,B B C|A B C,2
1,4,100 158 174 198,B B C|A B C,2
1,4,100 174 182 210,B B C|A B C,2
1,4,100 174 182 230,B B C|A B C,2
1,4,100 174 182 246,B B C|A B C,2
1,4,100 174 186 210,B B C|A B C,2
1,4,100 174 198 222,B B C|A B C,2
1,4,100 174 210 234,B B C|A B C,2
1,4,100 174 222 230,B B C|A B C,2
1,4,100 174 222 246,B B C|A B C,2
1,4,100 174 230 254,B B C|A B C,2
1,4,100 182 210 230,B B C|A B C,2
1,4,100 182 210 246,B B C|A B C,2
1,4,100 182 230 246,B B C|A B C,2
1,4,100 194 198 210,B B C|A B C,2
1,4,100 194 198 230,B B C|A B C,2
1,4,100 194 198 246,B B C|A B C,2
1,4,100 194 210 230,B B C|A B C,2
1,4,100 194 210 246,B B C|A B C,2
1,4,100 194 230 246,B B C|A B C,2
1,4,100 198 206 230,B B C|A B C,2
1,4,100 198 206 246,B B C|A B C,2
1,4,100 198 222 230,B B C|A B C,2
1,4,100 198 222 246,B B C|A B C,2
1,4,100 206 230 246,B B C|A B C,2
1,4,100 222 230 246,B B C|A B C,2
1,4,102 104 118 170,B C C|A B C,2
1,4,102 110 122 136,B B C|A B C,2
1,4,102 110 126 212,B B C|A B C,2
1,4,102 110 126 244,B B C|A B C,2
1,4,102 110 134 212,B B C|A B C,2
1,4,102 110 134 244,B B C|A B C,2
1,4,102 110 136 146,B B C|A B C,2
1,4,102 110 136 186,B B C|A B C,2
1,4,102 110 136 194,B B C|A B C,2
1,4,102 110 146 202,B B C|A B C,2
1,4,102 110 150 202,B B C|A B C,2
1,4,102 110 150 212,B B C|A B C,2
1,4,102 110 150 244,B B C|A B C,2
1,4,102 110 158 244,B B C|A B C,2
1,4,102 110 186 202,B B C|A B C,2
1,4,102 110 194 202,B B C|A B C,2
1,4,102 110 202 234,B B C|A B C,2
1,4,102 110 202 254,B B C|A B C,2
1,4,102 110 206 212,B B C|A B C,2
1,4,102 110 222 244,B B C|A B C,2
1,4,102 110 244 254,B B C|A B C,2
1,4,102 114 136 164,B B C|A B C,2
1,4,102 114 136 202,B B C|A B C,2
1,4,102 114 164 202,B B C|A B C,2
1,4,102 118 126 170,B C C|A B C,2
1,4,102 118 134 164,B B C|A B C,2
1,4,102 118 146 164,B B C|A B C,2
1,4,102 118 150 170,B C C|A B C,2
1,4,102 118 158 164,B B C|A B C,2
1,4,102 118 164 194,B B C|A B C,2
1,4,102 118 164 206,B B C|A B C,2
1,4,102 118 170 194,B C C|A B C,2
1,4,102 118 170 206,B C C|A B C,2
1,4,102 118 170 216,B C C|A B C,2
1,4,102 118 170 234,B C C|A B C,2
1,4,102 122 136 202,B B C|A B C,2
1,4,102 122 136 244,B B C|A B C,2
1,4,102 122 202 244,B B C|A B C,2
1,4,102 126 164 212,B B C|A B C,2
1,4,102 126 164 244,B B C|A B C,2
1,4,102 126 212 244,B B C|A B C,2
1,4,102 134 164 202,B B C|A B C,2
1,4,102 134 164 212,B B C|A B C,2
1,4,102 134 164 244,B B C|A B C,2
1,4,102 134 202 212,B B C|A B C,2
1,4,102 134 202 244,B B C|A B C,2
1,4,102 134 212 244,B B C|A B C,2
1,4,102 136 146 164,B B C|A B C,2
1,4,102 136 146 202,B B C|A B C,2
1,4,102 136 164 194,B B C|A B C,2
1,4,102 136 164 206,B B C|A B C,2
1,4,102 136 182 202,B B C|A B C,2
1,4,102 136 182 212,B B C|A B C,2
1,4,102 136 186 202,B B C|A B C,2
1,4,102 136 186 244,B B C|A B C,2
1,4,102 136 194 202,B B C|A B C,2
1,4,102 136 202 206,B B C|A B C,2
1,4,102 136 202 234,B B C|A B C,2
1,4,102 136 206 212,B B C|A B C,2
1,4,102 136 212 234,B B C|A B C,2
1,4,102 136 234 244,B B C|A B C,2
1,4,102 146 164 202,B B C|A B C,2
1,4,102 150 202 212,B B C|A B C,2
1,4,102 150 202 244,B B C|A B C,2
1,4,102 150 212 244,B B C|A B C,2
1,4,102 158 164 244,B B C|A B C,2
1,4,102 164 194 202,B B C|A B C,2
1,4,102 164 202 206,B B C|A B C,2
1,4,102 164 206 212,B B C|A B C,2
1,4,102 182 202 212,B B C|A B C,2
1,4,102 186 202 244,B B C|A B C,2
1,4,102 202 206 212,B B C|A B C,2
1,4,102 202 212 222,B B C|A B C,2
1,4,102 202 212 234,B B C|A B C,2
1,4,102 202 222 244,B B C|A B C,2
1,4,102 202 234 244,B B C|A B C,2
1,4,102 202 244 254,B B C|A B C,2
1,4,102 212 222 244,B B C|A B C,2
1,4,102 212 234 244,B B C|A B C,2
1,4,104 106 166 174,B B C|A B C,2
1,4,104 110 118 250,B C C|A B C,2
1,4,104 110 178 202,B B C|A B C,2
1,4,104 110 178 250,B B C|A B C,2
1,4,104 110 202 250,B B C|A B C,2
1,4,104 110 226 250,B C C|A B C,2
1,4,104 118 170 250,B C C|A B C,2
1,4,106 114 116 174,B B C|A B C,2
1,4,106 116 126 174,B B C|A B C,2
1,4,106 116 134 174,B B C|A B C,2
1,4,106 116 146 174,B B C|A B C,2
1,4,106 116 150 174,B B C|A B C,2
1,4,106 116 158 174,B B C|A B C,2
1,4,106 116 174 182,B B C|A B C,2
1,4,106 116 174 194,B B C|A B C,2
1,4,106 116 174 206,B B C|A B C,2
1,4,106 116 174 254,B B C|A B C,2
1,4,106 122 166 174,B B C|A B C,2
1,4,106 122 176 198,B C C|A B C,2
1,4,106 134 166 174,B B C|A B C,2
1,4,106 134 198 230,B C C|A B C,2
1,4,106 146 166 174,B B C|A B C,2
1,4,106 150 198 230,B C C|A B C,2
1,4,106 152 166 174,B B C|A B C,2
1,4,106 152 198 230,B C C|A B C,2
1,4,106 158 166 174,B B C|A B C,2
1,4,106 166 174 182,B B C|A B C,2
1,4,106 166 174 194,B B C|A B C,2
1,4,106 166 174 206,B B C|A B C,2
1,4,106 166 174 218,B B C|A B C,2
1,4,106 166 174 234,B B C|A B C,2
1,4,106 166 174 248,B B C|A B C,2
1,4,106 166 174 254,B B C|A B C,2
1,4,106 168 198 230,B C C|A B C,2
1,4,106 176 198 234,B C C|A B C,2
1,4,106 182 198 230,B C C|A B C,2
1,4,106 198 216 230,B C C|A B C,2
1,4,106 198 218 230,B C C|A B C,2
1,4,106 198 222 230,B C C|A B C,2
1,4,106 198 230 248,B C C|A B C,2
1,4,110 114 148 170,B B C|A B C,2
1,4,110 114 148 178,B B C|A B C,2
1,4,110 114 148 212,B B C|A B C,2
1,4,110 114 148 244,B B C|A B C,2
1,4,110 114 148 250,B B C|A B C,2
1,4,110 114 170 178,B B C|A B C,2
1,4,110 114 170 212,B B C|A B C,2
1,4,110 114 170 244,B B C|A B C,2
1,4,110 114 170 250,B B C|A B C,2
1,4,110 114 178 212,B B C|A B C,2
1,4,110 114 178 244,B B C|A B C,2
1,4,110 114 178 250,B B C|A B C,2
1,4,110 114 212 244,B B C|A B C,2
1,4,110 114 212 250,B B C|A B C,2
1,4,110 114 226 250,B C C|A B C,2
1,4,110 114 244 250,B B C|A B C,2
1,4,110 118 122 250,B C C|A B C,2
1,4,110 118 126 250,B C C|A B C,2
1,4,110 118 146 250,B C C|A B C,2
1,4,110 118 148 182,B B C|A B C,2
1,4,110 118 158 250,B C C|A B C,2
1,4,110 118 194 250,B C C|A B C,2
1,4,110 118 216 250,B C C|A B C,2
1,4,110 118 234 250,B C C|A B C,2
1,4,110 118 248 250,B C C|A B C,2
1,4,110 118 250 254,B C C|A B C,2
1,4,110 122 136 170,B B C|A B C,2
1,4,110 122 136 178,B B C|A B C,2
1,4,110 122 136 250,B B C|A B C,2
1,4,110 122 170 178,B B C|A B C,2
1,4,110 122 170 250,B B C|A B C,2
1,4,110 122 178 250,B B C|A B C,2
1,4,110 122 226 250,B C C|A B C,2
1,4,110 126 136 212,B B C|A B C,2
1,4,110 126 136 244,B B C|A B C,2
1,4,110 126 136 250,B B C|A B C,2
1,4,110 126 212 244,B B C|A B C,2
1,4,110 126 212 250,B B C|A B C,2
1,4,110 126 226 250,B C C|A B C,2
1,4,110 126 244 250,B B C|A B C,2
1,4,110 134 136 148,B B C|A B C,2
1,4,110 134 136 170,B B C|A B C,2
1,4,110 134 136 178,B B C|A B C,2
1,4,110 134 136 212,B B C|A B C,2
1,4,110 134 136 244,B B C|A B C,2
1,4,110 134 136 250,B B C|A B C,2
1,4,110 134 148 170,B B C|A B C,2
1,4,110 134 148 178,B B C|A B C,2
1,4,110 134 148 212,B B C|A B C,2
1,4,110 134 148 244,B B C|A B C,2
1,4,110 134 148 250,B B C|A B C,2
1,4,110 134 170 178,B B C|A B C,2
1,4,110 134 170 212,B B C|A B C,2
1,4,110 134 170 244,B B C|A B C,2
1,4,110 134 170 250,B B C|A B C,2
1,4,110 134 178 212,B B C|A B C,2
1,4,110 134 178 244,B B C|A B C,2
1,4,110 134 178 250,B B C|A B C,2
1,4,110 134 212 244,B B C|A B C,2
1,4,110 134 212 250,B B C|A B C,2
1,4,110 134 244 250,B B C|A B C,2
1,4,110 136 146 148,B B C|A B C,2
1,4,110 136 146 170,B B C|A B C,2
1,4,110 136 146 178,B B C|A B C,2
1,4,110 136 146 202,B B C|A B C,2
1,4,110 136 146 244,B B C|A B C,2
1,4,110 136 146 250,B B C|A B C,2
1,4,110 136 148 194,B B C|A B C,2
1,4,110 136 170 218,B B C|A B C,2
1,4,110 136 170 254,B B C|A B C,2
1,4,110 136 178 186,B B C|A B C,2
1,4,110 136 178 194,B B C|A B C,2
1,4,110 136 178 254,B B C|A B C,2
1,4,110 136 186 202,B B C|A B C,2
1,4,110 136 186 250,B B C|A B C,2
1,4,110 136 194 202,B B C|A B C,2
1,4,110 136 194 212,B B C|A B C,2
1,4,110 136 194 244,B B C|A B C,2
1,4,110 136 194 250,B B C|A B C,2
1,4,110 136 202 218,B B C|A B C,2
1,4,110 136 202 254,B B C|A B C,2
1,4,110 136 212 254,B B C|A B C,2
1,4,110 136 218 250,B B C|A B C,2
1,4,110 136 244 254,B B C|A B C,2
1,4,110 136 250 254,B B C|A B C,2
1,4,110 146 148 170,B B C|A B C,2
1,4,110 146 148 178,B B C|A B C,2
1,4,110 146 148 202,B B C|A B C,2
1,4,110 146 148 244,B B C|A B C,2
1,4,110 146 148 250,B B C|A B C,2
1,4,110 146 170 178,B B C|A B C,2
1,4,110 146 170 202,B B C|A B C,2
1,4,110 146 170 244,B B C|A B C,2
1,4,110 146 170 250,B B C|A B C,2
1,4,110 146 178 202,B B C|A B C,2
1,4,110 146 178 244,B B C|A B C,2
1,4,110 146 178 250,B B C|A B C,2
1,4,110 146 202 244,B B C|A B C,2
1,4,110 146 202 250,B B C|A B C,2
1,4,110 146 226 250,B C C|A B C,2
