shared_shell,shared_shell_type,pair_count
101,C,1054528
89,C,983310
65,C,829065
125,C,800953
117,C,782408
90,C,675736
113,C,613351
109,C,498861
69,B,471714
81,B,445802
73,C,444859
77,B,419953
85,C,379815
106,C,378940
105,B,375507
97,C,366791
110,B,345755
185,C,332869
66,B,325887
173,C,321115
149,C,316360
82,C,310504
153,C,308201
221,C,289176
121,B,285455
94,B,277452
241,C,254090
245,C,254072
83,B,242756
233,C,233523
225,C,227856
209,B,227381
181,C,226481
145,C,220238
197,C,215617
107,B,213885
75,B,212530
99,B,211967
229,C,211025
161,B,209003
189,B,208198
170,C,203077
137,C,202393
250,C,202094
129,B,202053
93,B,201007
118,B,186503
205,C,184116
116,C,177913
70,B,174708
68,C,173320
91,B,162809
157,C,161578
178,C,155644
237,B,155544
201,B,149858
230,B,149723
169,C,149365
249,B,144989
123,B,144329
115,B,144115
102,B,138647
226,C,130730
141,B,128444
165,B,122288
174,B,121941
251,B,118150
131,B,117571
171,B,114884
217,B,110526
213,B,110087
202,C,108806
179,B,107734
67,B,104927
246,B,102421
166,B,102408
138,B,96311
100,C,91807
155,B,91763
227,B,91017
193,C,90557
195,B,88106
198,B,87752
130,C,87663
219,B,84797
139,B,82241
203,B,79631
243,B,78911
154,B,78514
164,C,74843
84,B,74665
238,B,72435
210,B,70928
133,B,66727
211,B,63490
147,B,61120
120,B,59680
177,B,56844
180,C,54656
244,C,53010
212,C,52586
214,B,48195
187,B,47573
142,B,44371
80,C,43977
136,C,42644
253,B,41675
235,B,38197
108,B,34523
88,B,33276
190,B,32942
76,B,30257
132,B,25996
148,C,23417
163,B,23162
196,B,21351
228,B,20112
236,B,17544
232,C,16278
140,B,14535
184,B,14195
160,C,12830
204,B,12814
208,C,10960
172,B,7952
144,B,6135
64,B,3210
176,B,2753
192,B,816
