block,signature_kind,signature,count
k2,type_multiset,A/A/B,8
k2,shell_multiset,4/6/6,8
k2,ordered_type,A->A->B,16
k2,ordered_type,A->B->A,16
k2,ordered_type,B->A->A,16
k3,type_multiset,A/A/C,4
k3,type_multiset,A/C/C,4
k3,type_multiset,A/C/D,4
k3,shell_multiset,10/10/14,4
k3,shell_multiset,10/14/14,4
k3,shell_multiset,8/10/14,4
k3,ordered_type,A->A->C,8
k3,ordered_type,A->C->A,8
k3,ordered_type,A->C->C,8
k3,ordered_type,A->C->D,4
k3,ordered_type,A->D->C,4
k3,ordered_type,C->A->A,8
k3,ordered_type,C->A->C,8
k3,ordered_type,C->A->D,4
k3,ordered_type,C->C->A,8
k3,ordered_type,C->D->A,4
k3,ordered_type,D->A->C,4
k3,ordered_type,D->C->A,4
k4,stream_family_signed,A->D->C,0.0024680749818048195
k4,stream_family_signed,A->D->B,0.00974817311705497
k4,stream_family_signed,A->C->D,0.0010085226312098589
k4,stream_family_signed,A->C->C,0.009405866679544295
k4,stream_family_signed,A->C->B,0.0008122624973565093
k4,stream_family_signed,A->B->C,0.003446598100093219
k4,stream_family_signed,C->D->C,0.005083985904418972
k4,stream_family_signed,C->A->D,0.0007445694417978103
k4,stream_family_signed,C->C->D,0.0028281838880383253
k4,stream_family_signed,C->C->A,-0.006274703077897734
k4,stream_family_signed,C->C->C,0.0013615063928827708
k4,stream_family_signed,C->C->B,0.006938374660229986
k4,stream_family_signed,C->B->B,0.004533903026479739
k4,stream_family_signed,B->D->A,-0.005998874219772321
k4,stream_family_signed,B->C->C,-0.004725531945602343
k4,stream_family_signed,B->B->C,-0.0025416443252877507
k4,stream_output_shell,26:A:A->D->B,0.0277612882710164
k4,stream_output_shell,29:C:C->D->C,0.017246518435455636
k4,stream_output_shell,17:C:C->D->C,-0.01665524765085276
k4,stream_output_shell,25:C:C->C->B,0.01513053507430918
k4,stream_output_shell,16:B:B->D->A,-0.012001513776424357
k4,stream_output_shell,18:D:D->C->C,-0.004158618390607986
k4,stream_output_shell,20:C:C->C->C,-0.0036933525086635423
k4,stream_output_shell,21:B:B->C->C,-0.002565269482747295
k4,stream_output_shell,30:B:B->B->C,3.5817168993481387e-08
k4,stream_output_shell,27:B:B->B->B,1.3976660151957313e-08
k4,stream_output_shell,24:A:A->C->C,7.872433515765667e-09
k4,stream_output_shell,19:B:B->C->A,-7.42204723990217e-09
