k6_support,k7_support,shared_shells,shared_shell_types,shared_distinct_shell_count,distinct_union_shells,distinct_union_shell_count,dropped_k6_shell,added_k7_shell,replacement_type,replacement_shape,mode_1,mode_1_shell,mode_1_type,mode_2,mode_2_shell,mode_2_type
100 102 198,100 102 206,100 102,C B,2,100 102 198 206,4,198,206,B->A,clean_distinct,-10 -1 -1,102,B,0 -8 6,100,C
100 110 198,100 110 222,100 110,C B,2,100 110 198 222,4,198,222,B->A,clean_distinct,-8 -6 0,100,C,-6 7 -5,110,B
100 110 214,100 110 206,100 110,C B,2,100 110 206 214,4,214,206,B->A,clean_distinct,-8 -6 0,100,C,-5 7 -6,110,B
100 110 238,100 110 182,100 110,C B,2,100 110 182 238,4,238,182,B->A,clean_distinct,-9 -5 -2,110,B,-6 8 0,100,C
100 118 230,100 118 206,100 118,C B,2,100 118 206 230,4,230,206,B->A,clean_distinct,-10 -3 -3,118,B,0 -8 6,100,C
100 142 230,100 142 254,100 142,C B,2,100 142 230 254,4,230,254,B->A,clean_distinct,-9 -6 -5,142,B,-6 8 0,100,C
101 105 190,101 105 222,101 105,C B,2,101 105 190 222,4,190,222,B->A,clean_distinct,-10 -2 -1,105,B,0 -1 10,101,C
101 105 196,101 105 216,101 105,C B,2,101 105 196 216,4,196,216,B->A,clean_distinct,-9 -4 -2,101,C,-5 8 4,105,B
101 105 230,101 105 182,101 105,C B,2,101 105 182 230,4,230,182,B->A,clean_distinct,-10 -2 -1,105,B,-1 8 6,101,C
101 107 198,101 107 218,101 107,C B,2,101 107 198 218,4,198,218,B->A,clean_distinct,-10 -1 0,101,C,-1 5 -9,107,B
101 107 210,101 107 206,101 107,C B,2,101 107 206 210,4,210,206,B->A,clean_distinct,-10 -1 0,101,C,-1 9 -5,107,B
101 107 230,101 107 186,101 107,C B,2,101 107 186 230,4,230,186,B->A,clean_distinct,-9 -5 -1,107,B,-4 9 2,101,C
101 115 210,101 115 222,101 115,C B,2,101 115 210 222,4,210,222,B->A,clean_distinct,-9 -5 -3,115,B,-4 9 -2,101,C
101 115 214,101 115 218,101 115,C B,2,101 115 214 218,4,214,218,B->A,clean_distinct,-9 -5 -3,115,B,-4 2 9,101,C
101 115 238,101 115 194,101 115,C B,2,101 115 194 238,4,238,194,B->A,clean_distinct,-9 -5 -3,115,B,-6 8 1,101,C
101 115 246,101 115 186,101 115,C B,2,101 115 186 246,4,246,186,B->A,clean_distinct,-9 -5 -3,115,B,-4 6 7,101,C
101 121 190,101 121 254,101 121,C B,2,101 121 190 254,4,190,254,B->A,clean_distinct,-9 -6 -2,121,B,-6 4 7,101,C
101 121 210,101 121 234,101 121,C B,2,101 121 210 234,4,210,234,B->A,clean_distinct,-9 -6 -2,121,B,-4 2 9,101,C
101 121 238,101 121 206,101 121,C B,2,101 121 206 238,4,238,206,B->A,clean_distinct,-9 -6 -2,121,B,-6 8 -1,101,C
101 123 214,101 123 234,101 123,C B,2,101 123 214 234,4,214,234,B->A,clean_distinct,-8 -6 -1,101,C,-5 7 -7,123,B
101 123 230,101 123 218,101 123,C B,2,101 123 218 230,4,230,218,B->A,clean_distinct,-11 -1 -1,123,B,-1 6 8,101,C
101 129 238,101 129 222,101 129,C B,2,101 129 222 238,4,238,222,B->A,clean_distinct,-11 -2 -2,129,B,-2 4 9,101,C
101 131 230,101 131 234,101 131,C B,2,101 131 230 234,4,230,234,B->A,clean_distinct,-11 -3 -1,131,B,-2 4 9,101,C
101 131 246,101 131 218,101 131,C B,2,101 131 218 246,4,246,218,B->A,clean_distinct,-11 -3 -1,131,B,-1 8 -6,101,C
101 133 214,101 133 254,101 133,C B,2,101 133 214 254,4,214,254,B->A,clean_distinct,-9 -6 -4,133,B,-6 8 -1,101,C
101 133 246,101 133 222,101 133,C B,2,101 133 222 246,4,246,222,B->A,clean_distinct,-9 -6 -4,133,B,-2 -4 9,101,C
101 141 230,101 141 254,101 141,C B,2,101 141 230 254,4,230,254,B->A,clean_distinct,-11 -4 -2,141,B,-4 6 7,101,C
101 141 236,101 141 248,101 141,C B,2,101 141 236 248,4,236,248,B->A,clean_distinct,-11 -4 -2,141,B,-1 6 -8,101,C
102 106 230,102 106 186,102 106,B C,2,102 106 186 230,4,230,186,B->A,clean_distinct,-9 -4 -3,106,C,-2 7 -7,102,B
102 116 214,102 116 222,102 116,B C,2,102 116 214 222,4,214,222,B->A,clean_distinct,-8 -6 -4,116,C,-2 7 -7,102,B
102 116 230,102 116 206,102 116,B C,2,102 116 206 230,4,230,206,B->A,clean_distinct,-10 -4 0,116,C,-1 1 -10,102,B
102 130 230,102 130 234,102 130,B C,2,102 130 230 234,4,230,234,B->A,clean_distinct,-11 -3 0,130,C,-2 7 -7,102,B
105 109 174,105 109 254,105 109,B C,2,105 109 174 254,4,174,254,B->A,clean_distinct,-10 -3 0,109,C,-1 10 -2,105,B
105 109 246,105 109 182,105 109,B C,2,105 109 182 246,4,246,182,B->A,clean_distinct,-10 -3 0,109,C,-4 8 -5,105,B
105 113 230,105 113 206,105 113,B C,2,105 113 206 230,4,230,206,B->A,clean_distinct,-10 -3 -2,113,C,-4 8 5,105,B
105 117 196,105 117 248,105 117,B C,2,105 117 196 248,4,196,248,B->A,clean_distinct,-10 -4 -1,117,C,-4 8 -5,105,B
105 117 210,105 117 234,105 117,B C,2,105 117 210 234,4,210,234,B->A,clean_distinct,-10 -4 -1,117,C,-2 1 10,105,B
105 117 228,105 117 216,105 117,B C,2,105 117 216 228,4,228,216,B->A,clean_distinct,-10 -4 -1,117,C,-4 8 5,105,B
105 117 238,105 117 206,105 117,B C,2,105 117 206 238,4,238,206,B->A,clean_distinct,-10 -4 -1,117,C,-1 -2 10,105,B
105 125 238,105 125 222,105 125,B C,2,105 125 222 238,4,238,222,B->A,clean_distinct,-10 -4 -3,125,C,-4 5 8,105,B
105 137 230,105 137 254,105 137,B C,2,105 137 230 254,4,230,254,B->A,clean_distinct,-10 -6 -1,137,C,-5 8 -4,105,B
105 137 236,105 137 248,105 137,B C,2,105 137 236 248,4,236,248,B->A,clean_distinct,-11 -4 0,137,C,-1 2 -10,105,B
105 145 246,105 145 254,105 145,B C,2,105 145 246 254,4,246,254,B->A,clean_distinct,-12 -1 0,145,C,-1 10 -2,105,B
106 108 174,106 108 254,106 108,C B,2,106 108 174 254,4,174,254,B->A,clean_distinct,-10 -2 -2,108,B,-3 -4 9,106,C
106 108 246,106 108 182,106 108,C B,2,106 108 182 246,4,246,182,B->A,clean_distinct,-10 -2 -2,108,B,-4 3 9,106,C
