k6_support,k7_support,shared_shells,shared_shell_types,shared_distinct_shell_count,distinct_union_shells,distinct_union_shell_count,dropped_k6_shell,added_k7_shell,replacement_type,replacement_shape,mode_1,mode_1_shell,mode_1_type,mode_2,mode_2_shell,mode_2_type
73 179 250,73 179 254,73 179,C B,2,73 179 250 254,4,250,254,C->A,clean_distinct,-13 -3 -1,179,B,-1 6 -6,73,C
65 177 250,65 177 234,65 177,C B,2,65 177 234 250,4,250,234,C->A,clean_distinct,-13 -2 -2,177,B,-2 5 6,65,C
65 177 236,65 177 248,65 177,C B,2,65 177 236 248,4,236,248,B->A,clean_distinct,-13 -2 -2,177,B,-1 0 8,65,C
65 177 230,65 177 254,65 177,C B,2,65 177 230 254,4,230,254,B->A,clean_distinct,-13 -2 -2,177,B,0 -7 4,65,C
68 174 250,68 174 234,68 174,C B,2,68 174 234 250,4,250,234,C->A,clean_distinct,-13 -2 -1,174,B,0 -2 8,68,C
69 173 236,69 173 248,69 173,B C,2,69 173 236 248,4,236,248,B->A,clean_distinct,-13 -2 0,173,C,-1 8 -2,69,B
65 171 250,65 171 222,65 171,C B,2,65 171 222 250,4,250,222,C->A,clean_distinct,-13 -1 -1,171,B,0 -8 1,65,C
64 170 250,64 170 218,64 170,B C,2,64 170 218 250,4,250,218,C->A,clean_distinct,-13 -1 0,170,C,0 -8 0,64,B
67 173 226,67 173 254,67 173,B C,2,67 173 226 254,4,226,254,C->A,clean_distinct,-12 -5 -2,173,C,-3 3 7,67,B
69 173 230,69 173 254,69 173,B C,2,69 173 230 254,4,230,254,B->A,clean_distinct,-12 -5 -2,173,C,-1 -2 8,69,B
66 170 238,66 170 234,66 170,B C,2,66 170 234 238,4,238,234,B->A,clean_distinct,-12 -5 -1,170,C,-1 1 8,66,B
83 169 250,83 169 254,83 169,B C,2,83 169 250 254,4,250,254,C->A,clean_distinct,-12 -5 0,169,C,-3 7 -5,83,B
67 169 238,67 169 234,67 169,B C,2,67 169 234 238,4,238,234,B->A,clean_distinct,-12 -5 0,169,C,-3 7 -3,67,B
77 169 238,77 169 254,77 169,B C,2,77 169 238 254,4,238,254,B->A,clean_distinct,-12 -5 0,169,C,-3 8 -2,77,B
77 169 244,77 169 248,77 169,B C,2,77 169 244 248,4,244,248,C->A,clean_distinct,-12 -4 -3,169,C,-2 8 -3,77,B
69 169 228,69 169 248,69 169,B C,2,69 169 228 248,4,228,248,B->A,clean_distinct,-12 -4 -3,169,C,-2 8 -1,69,B
65 161 246,65 161 206,65 161,C B,2,65 161 206 246,4,246,206,B->A,clean_distinct,-12 -4 -1,161,B,-2 5 -6,65,C
65 161 230,65 161 222,65 161,C B,2,65 161 222 230,4,230,222,B->A,clean_distinct,-12 -4 -1,161,B,-2 5 6,65,C
65 161 236,65 161 216,65 161,C B,2,65 161 216 236,4,236,216,B->A,clean_distinct,-12 -4 -1,161,B,-2 6 -5,65,C
89 161 246,89 161 254,89 161,C B,2,89 161 246 254,4,246,254,B->A,clean_distinct,-12 -4 -1,161,B,-2 7 -6,89,C
73 161 246,73 161 222,73 161,C B,2,73 161 222 246,4,246,222,B->A,clean_distinct,-12 -4 -1,161,B,-1 6 -6,73,C
85 161 244,85 161 248,85 161,C B,2,85 161 244 248,4,244,248,C->A,clean_distinct,-12 -4 -1,161,B,0 -2 9,85,C
83 157 226,83 157 254,83 157,B C,2,83 157 226 254,4,226,254,C->A,clean_distinct,-12 -3 -2,157,C,-3 5 7,83,B
77 157 250,77 157 218,77 157,B C,2,77 157 218 250,4,250,218,C->A,clean_distinct,-12 -3 -2,157,C,-3 8 2,77,B
69 157 204,69 157 248,69 157,B C,2,69 157 204 248,4,204,248,B->A,clean_distinct,-12 -3 -2,157,C,-2 -1 8,69,B
69 157 236,69 157 216,69 157,B C,2,69 157 216 236,4,236,216,B->A,clean_distinct,-12 -3 -2,157,C,-2 1 8,69,B
69 157 230,69 157 222,69 157,B C,2,69 157 222 230,4,230,222,B->A,clean_distinct,-12 -3 -2,157,C,-2 4 7,69,B
77 157 246,77 157 222,77 157,B C,2,77 157 222 246,4,246,222,B->A,clean_distinct,-12 -3 -2,157,C,-2 8 -3,77,B
83 157 246,83 157 234,83 157,B C,2,83 157 234 246,4,246,234,B->A,clean_distinct,-12 -3 -2,157,C,-1 -1 9,83,B
69 157 246,69 157 206,69 157,B C,2,69 157 206 246,4,246,206,B->A,clean_distinct,-12 -3 -2,157,C,-1 2 8,69,B
75 157 210,75 157 254,75 157,B C,2,75 157 210 254,4,210,254,B->A,clean_distinct,-12 -3 -2,157,C,-1 5 -7,75,B
75 157 230,75 157 234,75 157,B C,2,75 157 230 234,4,230,234,B->A,clean_distinct,-12 -3 -2,157,C,-1 7 -5,75,B
68 154 190,68 154 254,68 154,C B,2,68 154 190 254,4,190,254,B->A,clean_distinct,-12 -3 -1,154,B,-2 0 8,68,C
68 154 250,68 154 194,68 154,C B,2,68 154 194 250,4,250,194,C->A,clean_distinct,-12 -3 -1,154,B,0 -2 -8,68,C
68 154 226,68 154 218,68 154,C B,2,68 154 218 226,4,226,218,C->A,clean_distinct,-12 -3 -1,154,B,0 -2 8,68,C
69 153 228,69 153 216,69 153,B C,2,69 153 216 228,4,228,216,B->A,clean_distinct,-12 -3 0,153,C,-2 7 -4,69,B
69 153 210,69 153 234,69 153,B C,2,69 153 210 234,4,210,234,B->A,clean_distinct,-12 -3 0,153,C,-1 2 -8,69,B
67 149 178,67 149 254,67 149,B C,2,67 149 178 254,4,178,254,C->A,clean_distinct,-12 -2 -1,149,C,-3 7 3,67,B
77 149 246,77 149 206,77 149,B C,2,77 149 206 246,4,246,206,B->A,clean_distinct,-12 -2 -1,149,C,-2 3 8,77,B
93 149 230,93 149 254,93 149,B C,2,93 149 230 254,4,230,254,B->A,clean_distinct,-12 -2 -1,149,C,-2 5 8,93,B
69 149 230,69 149 206,69 149,B C,2,69 149 206 230,4,230,206,B->A,clean_distinct,-12 -2 -1,149,C,-2 7 4,69,B
77 149 204,77 149 248,77 149,B C,2,77 149 204 248,4,204,248,B->A,clean_distinct,-12 -2 -1,149,C,-2 8 -3,77,B
77 149 236,77 149 216,77 149,B C,2,77 149 216 236,4,236,216,B->A,clean_distinct,-12 -2 -1,149,C,-2 8 3,77,B
93 149 236,93 149 248,93 149,B C,2,93 149 236 248,4,236,248,B->A,clean_distinct,-12 -2 -1,149,C,-2 8 5,93,B
69 149 202,69 149 234,69 149,B C,2,69 149 202 234,4,202,234,C->A,clean_distinct,-12 -2 -1,149,C,-1 -2 8,69,B
83 149 230,83 149 234,83 149,B C,2,83 149 230 234,4,230,234,B->A,clean_distinct,-12 -2 -1,149,C,-1 1 9,83,B
69 149 250,69 149 186,69 149,B C,2,69 149 186 250,4,250,186,C->A,clean_distinct,-12 -2 -1,149,C,-1 2 -8,69,B
91 149 246,91 149 234,91 149,B C,2,91 149 234 246,4,246,234,B->A,clean_distinct,-12 -2 -1,149,C,-1 3 9,91,B
81 149 238,81 149 222,81 149,B C,2,81 149 222 238,4,238,222,B->A,clean_distinct,-12 -2 -1,149,C,-1 4 8,81,B
75 149 214,75 149 234,75 149,B C,2,75 149 214 234,4,214,234,B->A,clean_distinct,-12 -2 -1,149,C,-1 5 7,75,B
75 149 230,75 149 218,75 149,B C,2,75 149 218 230,4,230,218,B->A,clean_distinct,-12 -2 -1,149,C,-1 7 -5,75,B
69 149 214,69 149 222,69 149,B C,2,69 149 214 222,4,214,222,B->A,clean_distinct,-12 -2 -1,149,C,-1 8 -2,69,B
83 149 246,83 149 218,83 149,B C,2,83 149 218 246,4,246,218,B->A,clean_distinct,-12 -2 -1,149,C,-1 9 1,83,B
81 149 212,81 149 248,81 149,B C,2,81 149 212 248,4,212,248,C->A,clean_distinct,-12 -2 -1,149,C,0 0 -9,81,B
94 148 230,94 148 254,94 148,B C,2,94 148 230 254,4,230,254,B->A,clean_distinct,-12 -2 0,148,C,-2 9 -3,94,B
66 148 174,66 148 254,66 148,B C,2,66 148 174 254,4,174,254,B->A,clean_distinct,-12 -2 0,148,C,-1 -4 -7,66,B
66 148 210,66 148 218,66 148,B C,2,66 148 210 218,4,210,218,B->A,clean_distinct,-12 -2 0,148,C,-1 7 -4,66,B
69 145 174,69 145 254,69 145,B C,2,69 145 174 254,4,174,254,B->A,clean_distinct,-12 -1 0,145,C,-2 4 -7,69,B
69 145 180,69 145 248,69 145,B C,2,69 145 180 248,4,180,248,C->A,clean_distinct,-12 -1 0,145,C,-2 7 -4,69,B
