block,shell,type,manuscript_active,artifact_active_h1_ge_1e_4,artifact_active_h1_ge_1e_3,h1_fraction,h2_fraction,max_amp_fraction
k2,4,B,True,,,,,
k2,5,C,False,,,,,
k2,6,A,True,,,,,
k2,7,B,False,,,,,
k3,8,D,True,,,,,
k3,9,B,False,,,,,
k3,10,C,True,,,,,
k3,11,B,False,,,,,
k3,12,B,False,,,,,
k3,13,C,False,,,,,
k3,14,A,True,,,,,
k3,15,B,False,,,,,
k4,16,B,True,True,True,0.1384033866725964,0.10853206240668231,1.0
k4,17,C,True,True,True,0.2778142136109162,0.2314700144797406,0.7692722332076846
k4,18,D,True,True,True,0.17487211629510863,0.1542710469889324,0.5999090418163592
k4,19,B,False,False,False,2.215767055911241e-07,2.063331735079953e-07,1.1253517471925912e-07
k4,20,C,True,True,True,0.042140097148148564,0.04130635603886624,0.139954090949827
k4,21,B,False,True,True,0.053854961327687585,0.05542891392020681,0.18116744831203418
k4,22,B,False,False,False,2.5656250121077524e-07,2.7663505811044244e-07,1.1253517471925912e-07
k4,23,B,False,False,False,0.0,0.0,0.0
k4,24,A,False,False,False,2.7988636495720927e-07,3.292185815529232e-07,1.1253517471925912e-07
k4,25,C,False,True,True,0.07824563815547128,0.09587193691009906,0.33012811880700393
k4,26,A,True,True,True,0.13887228929440124,0.17696211441963183,0.33483767500325656
k4,27,B,True,False,False,4.1982954743581403e-07,5.555563563705581e-07,1.1253517471925912e-07
k4,28,B,False,False,False,0.0,0.0,0.0
k4,29,C,True,True,True,0.09579541992463866,0.13615515828460378,0.23295328651522268
k4,30,B,False,False,False,6.997159123930232e-07,1.0288080673528853e-06,1.1253517471925912e-07
k4,31,B,False,False,False,0.0,0.0,0.0
