gate,row_family,status,closed_for_certificate_form,metric,theorem_grade_note,evidence,source
K34,endpoint,closed_certificate_form,True,V13 gap=0.010155739007683441,,U3 is imported from the Paper 2 exact k=3 Krawczyk/KKT chart; U4 is the Paper 3 radius-0.30 full finite k4 chart with G4<=-2.57935480298416e-05 and DG4[F]<=-0.31253357722405578.,paper3\results\20260613_130427_audit_k34_transition_cover_k34_transition_cover_audit_v28_endpoint_packaged_paper_ready\20260613_130427_k34_transition_cover_audit.json
K34,true_branch,closed_certificate_form_artifact_backed,True,bridge_radius=0.01136467284454005; residual_radius=0.036407184119710716,Rounded bridge and residual tangent budgets are closed in certificate-form with cited finite ledgers; outward interval polish is optional for a fully artifact-free presentation.,"bridge_charts_rounded_certificate_packaged: The skeleton bridge ledger has 57 supports: 47 are closed by S4=0 and strip membership, leaving 10 selector-bearing skeleton supports. Skeleton survivor screen paper3\results\20260613_030852_screen_k34_selector_strip_k34_skeleton_selector_survivors_float64_v1\20260613_030852_selector_strip_summary.json; above-endpoint screen survivors=4. Rounded bridge certificate paper3\results\20260613_074717_audit_k34_bridge_tangent_k34_bridge_boundary_tangent_rounded_certificate_v1\20260613_074717_k34_bridge_tangent_audit.json; rows=6; all escape signs certified=True; minimum certified radius=0.01136467284454005 on 10 21 29 upper. Artifact note: For optional artifact-free form, replace the rounded float derivative budgets by interval/rational outward enclosures; no new bridge search is indicated. residual_boundary_escape_charts_packaged: Classify the 59 selector-bearing residual supports by selected signature (C->C->B, A->C->C, A->D->B); the other residual supports are closed by S4=0. Single-band screen paper3\results\20260613_024533_screen_k34_selector_strip_k34_single_band_selector_strip_screen_v1\20260613_024533_selector_strip_summary.json; supports screened=53; above endpoint=17; within 1e-3 below=3. Minimum residual X-fraction among above-endpoint candidates=0.09440071723600187 on 10 20 22. This shows the scalar G4 strip alone is insufficient; the finite tube must include a residual-mass/leakage coordinate. Targeted residual tube screen paper3\results\20260613_080720_screen_k34_selector_strip_k34_residual_tube_above_endpoint_delta003_v1\20260613_080720_selector_strip_summary.json; delta_res<=0.03; supports=17; all excluded=True; minimum gap=0.0005542818761423256 on 8 16 24. Constrained residual-tube replay paper3\results\20260613_124730_certify_k34_residual_tube_k34_residual_tube_tight_8_16_24_certificate_v1\20260613_124730_residual_tube_certificate_summary.json; paper3\results\20260613_124901_certify_k34_residual_tube_k34_residual_tube_17support_certificate_v1\20260613_124901_residual_tube_certificate_summary.json; paper3\results\20260613_125000_certify_k34_residual_tube_k34_residual_tube_tight_9_10_25_10_20_22_certificate_v1\20260613_125000_residual_tube_certificate_summary.json; delta_res<=0.03; supports=17; above endpoint=3 (10 20 22, 8 16 24, 9 10 25); minimum positive gap among non-escape residual supports=0.0021348985824343088 on 8 22 26; max constraint violation=1.7140681651817147e-09. Residual-boundary tangent certificates parsed=3; all escape signs certified=True; minimum certified radius=0.036407184119710716 on 9 10 25. Artifact note: State the residual-mass lemma as: below-endpoint residual supports are excluded by constrained replay, and the above-endpoint residual-boundary atoms are finite one-sided escape charts.  Optional artifact-free form would intervalize the rounded tangent budgets.",paper3\results\20260613_130427_audit_k34_transition_cover_k34_transition_cover_audit_v28_endpoint_packaged_paper_ready\20260613_130427_k34_transition_cover_audit.json
K34,charged_floor,closed_certificate_form_artifact_backed,True,quotient_gate=True,Positive transition cost is closed in certificate-form with cited finite ledgers; a fully artifact-free form would intervalize the rounded ledgers.,"Artifact note: Certificate-form route uses repository ledgers; optional artifact-free presentation would use fully outward-rounded interval enclosures for the rounded bridge, residual, raw-below, and dense k4 tensor inputs.",paper3\results\20260613_130427_audit_k34_transition_cover_k34_transition_cover_audit_v28_endpoint_packaged_paper_ready\20260613_130427_k34_transition_cover_audit.json
K34,rank_exception,closed_empty,True,,,"The K34 finite-atlas transition theorem assigns all residual rows to endpoint, bridge, residual, raw-below, no-selector, or charged alternatives; no X_rank row is introduced.",paper3\results\20260613_130427_audit_k34_transition_cover_k34_transition_cover_audit_v28_endpoint_packaged_paper_ready\20260613_130427_k34_transition_cover_audit.json
K45,endpoint,closed_certificate_form,True,2.1464688049619323,,"Psi45(k4)=-0.009508761364121595, Psi45(k5)=0.015178531316755076; D Psi45(k4)[F]=-4.893291757197492, D Psi45(k5)[F]=2.1464688049619323; min |D Psi45|=2.1464688049619323.",paper3\results\20260614_000621_package_k45_transition_certificate_k45_transition_certificate_package_v1\20260614_000621_k45_transition_certificate_package.json
K45,true_branch,closed_certificate_form,True,0.0006244940375837085,,15 true two-mode charts; branch target p45=0.016; displayed bound=0.015375505962416292; margin=0.0006244940375837085; all-15 violations=0.,paper3\results\20260614_000621_package_k45_transition_certificate_k45_transition_certificate_package_v1\20260614_000621_k45_transition_certificate_package.json
K45,charged_floor,closed_certificate_form,True,,,"All K45 finite proof obligations are assigned to support separation, product-loss, branch incompatibility, nonlocal split, overlap, or transfer-coordinate cancellation rows.",paper3\results\20260614_000621_package_k45_transition_certificate_k45_transition_certificate_package_v1\20260614_000621_k45_transition_certificate_package.json
K45,rank_exception,closed_empty,True,,,The K45 package introduces no rank exception row; the finite rows are assigned by the six-row certificate.,paper3\results\20260614_000621_package_k45_transition_certificate_k45_transition_certificate_package_v1\20260614_000621_k45_transition_certificate_package.json
K56,endpoint,closed_certificate_form,True,0.17788831373664493,,"Psi56(k5)=-0.009325268705047103, Psi56(k6)=0.002675267830940884; D Psi56(k5)[F]=0.17788831373664493, D Psi56(k6)[F]=-0.6494956443403401; orientation=toward_crossing/toward_crossing.",paper3\results\20260614_094249_package_k45_transition_certificate_k56_transition_certificate_package_v1\20260614_094249_k56_transition_certificate_package.json
K56,true_branch,closed_empty,True,0,,K56 support audit has true_two_family_support_count=0.,paper3\results\20260614_094249_package_k45_transition_certificate_k56_transition_certificate_package_v1\20260614_094249_k56_transition_certificate_package.json
